(-0.750000, -0.500000, -0.254106) (-0.750000, -0.750000, -0.254106) (-0.000000, 0.000000) 
(-0.500000, -0.750000, -0.067975) (-0.750000, -0.750000, -0.067975) (-107374176.000000, -107374176.000000) 
(-0.500000, -0.500000, -0.067975) (-0.750000, -0.750000, -0.067975) (0.000000, 0.000000) 
(-0.750000, -0.500000, -0.254106) (-0.750000, -0.500000, -0.254106) (10579301175964695789568.000000, 0.000000) 
(-0.500000, -0.500000, -0.067975) (-0.750000, -0.500000, -0.067975) (-0.000000, 0.000000) 
(-0.750000, -0.250000, -0.254106) (-0.750000, -0.500000, -0.254106) (10582810605974324248576.000000, 0.000000) 
(-0.750000, -0.250000, -0.254106) (-0.750000, -0.500000, -0.254106) (-0.000000, 0.000000) 
(-0.500000, -0.500000, -0.067975) (-0.750000, -0.500000, -0.067975) (-107374176.000000, -107374176.000000) 
(-0.500000, -0.250000, -0.067975) (-0.750000, -0.500000, -0.067975) (0.000000, 0.000000) 
(-0.750000, -0.250000, -0.254106) (-0.750000, -0.250000, -0.254106) (10579301175964695789568.000000, 0.000000) 
(-0.500000, -0.250000, -0.067975) (-0.750000, -0.250000, -0.067975) (-0.000000, 0.000000) 
(-0.750000, 0.000000, -0.254106) (-0.750000, -0.250000, -0.254106) (10582810605974324248576.000000, 0.000000) 
(-0.750000, 0.000000, -0.254106) (-0.750000, -0.250000, -0.254106) (-0.000000, 0.000000) 
(-0.500000, -0.250000, -0.067975) (-0.750000, -0.250000, -0.067975) (-107374176.000000, -107374176.000000) 
(-0.500000, 0.000000, -0.067975) (-0.750000, -0.250000, -0.067975) (0.000000, 0.000000) 
(-0.750000, 0.000000, -0.254106) (-0.750000, 0.000000, -0.254106) (10579301175964695789568.000000, 0.000000) 
(-0.500000, 0.000000, -0.067975) (-0.750000, 0.000000, -0.067975) (-0.000000, 0.000000) 
(-0.750000, 0.250000, -0.254106) (-0.750000, 0.000000, -0.254106) (10582810605974324248576.000000, 0.000000) 
(-0.750000, 0.250000, -0.254106) (-0.750000, 0.000000, -0.254106) (-0.000000, 0.000000) 
(-0.500000, 0.000000, -0.067975) (-0.750000, 0.000000, -0.067975) (-107374176.000000, -107374176.000000) 
(-0.500000, 0.250000, -0.067975) (-0.750000, 0.000000, -0.067975) (0.000000, 0.000000) 
(-0.750000, 0.250000, -0.254106) (-0.750000, 0.250000, -0.254106) (10579301175964695789568.000000, 0.000000) 
(-0.500000, 0.250000, -0.067975) (-0.750000, 0.250000, -0.067975) (-0.000000, 0.000000) 
(-0.750000, 0.500000, -0.254106) (-0.750000, 0.250000, -0.254106) (10582810605974324248576.000000, 0.000000) 
(-0.750000, 0.500000, -0.254106) (-0.750000, 0.250000, -0.254106) (-0.000000, 0.000000) 
(-0.500000, 0.250000, -0.067975) (-0.750000, 0.250000, -0.067975) (-107374176.000000, -107374176.000000) 
(-0.500000, 0.500000, -0.067975) (-0.750000, 0.250000, -0.067975) (0.000000, 0.000000) 
(-0.750000, 0.500000, -0.254106) (-0.750000, 0.500000, -0.254106) (10579301175964695789568.000000, 0.000000) 
(-0.500000, 0.500000, -0.067975) (-0.750000, 0.500000, -0.067975) (-0.000000, 0.000000) 
(-0.750000, 0.750000, -0.254106) (-0.750000, 0.500000, -0.254106) (10582810605974324248576.000000, 0.000000) 
(-0.750000, 0.750000, -0.254106) (-0.750000, 0.500000, -0.254106) (-0.000000, 0.000000) 
(-0.500000, 0.500000, -0.067975) (-0.750000, 0.500000, -0.067975) (-107374176.000000, -107374176.000000) 
(-0.500000, 0.750000, -0.067975) (-0.750000, 0.500000, -0.067975) (0.000000, 0.000000) 
(-0.750000, 0.750000, -0.254106) (-0.750000, 0.750000, -0.254106) (10579301175964695789568.000000, 0.000000) 
(-0.500000, 0.750000, -0.067975) (-0.750000, 0.750000, -0.067975) (-0.000000, 0.000000) 
(-0.750000, 1.000000, -0.254106) (-0.750000, 0.750000, -0.254106) (10582810605974324248576.000000, 0.000000) 
(-0.750000, 1.000000, -0.254106) (-0.750000, 0.750000, -0.254106) (-0.000000, 0.000000) 
(-0.500000, 0.750000, -0.067975) (-0.750000, 0.750000, -0.067975) (-107374176.000000, -107374176.000000) 
(-0.500000, 1.000000, -0.067975) (-0.750000, 0.750000, -0.067975) (0.000000, 0.000000) 
(-0.500000, -1.000000, -0.067975) (-0.500000, -1.000000, -0.067975) (10579301175964695789568.000000, 0.000000) 
(-0.250000, -1.000000, 0.113894) (-0.500000, -1.000000, 0.113894) (-0.000000, 0.000000) 
(-0.500000, -0.750000, -0.067975) (-0.500000, -1.000000, -0.067975) (10582810605974324248576.000000, 0.000000) 
(-0.500000, -0.750000, -0.067975) (-0.500000, -1.000000, -0.067975) (-0.000000, 0.000000) 
(-0.250000, -1.000000, 0.113894) (-0.500000, -1.000000, 0.113894) (-107374176.000000, -107374176.000000) 
(-0.250000, -0.750000, 0.113894) (-0.500000, -1.000000, 0.113894) (0.000000, 0.000000) 
